connection_initiator,connection,date_conection,messages_exchanged
678,778,2019-09-29,74944
275,148,2020-01-29,64445
8,239,2019-04-30,5821
489,207,2020-05-26,35073
797,670,2020-10-29,13849
506,359,2019-12-13,98293
548,860,2019-10-22,20422
468,307,2020-05-10,40444
295,642,2019-08-25,58286
293,996,2019-10-01,6758
760,192,2019-07-10,88616
848,70,2019-07-15,16078
391,26,2020-11-17,61838
855,48,2019-07-13,11309
89,164,2019-03-15,71088
533,626,2020-06-07,25326
357,329,2020-07-12,18687
133,654,2019-09-07,36906
101,827,2020-02-23,37421
999,131,2019-04-12,79607
373,427,2019-04-28,57856
644,305,2020-07-29,38342
828,58,2020-09-28,23462
385,741,2019-05-30,75177
302,864,2020-12-30,7118
593,236,2019-06-14,26622
787,807,2021-02-04,30530
605,463,2019-03-20,62294
356,767,2020-12-03,70137
708,946,2019-04-21,64537
360,101,2021-01-15,92802
865,388,2020-08-14,96669
382,688,2021-02-03,85834
271,233,2020-11-23,30049
279,586,2020-04-12,66175
596,495,2020-08-01,29098
624,307,2019-12-18,58617
715,45,2020-11-29,45356
686,342,2020-08-18,35604
313,794,2020-03-31,78071
704,64,2019-09-20,85942
215,266,2020-03-29,78909
125,136,2020-11-09,58315
777,714,2019-08-19,97759
903,362,2020-12-08,63996
428,259,2019-08-04,71936
754,260,2021-01-13,47383
274,139,2020-07-29,51850
670,637,2020-05-21,80083
777,168,2020-11-20,46300
224,905,2020-01-09,56636
569,650,2020-05-13,11989
891,688,2019-09-19,16593
642,943,2020-02-02,57070
267,337,2020-03-06,3063
992,273,2020-07-14,50105
60,202,2020-06-30,29962
812,280,2020-08-14,24576
437,998,2021-01-30,58087
439,531,2020-10-26,43771
79,640,2019-11-22,69133
662,462,2019-04-22,61182
138,852,2019-10-27,94956
774,388,2020-06-07,30501
839,501,2019-05-18,41214
171,193,2020-03-01,57788
597,621,2020-05-18,35600
463,612,2020-06-21,4979
472,698,2019-11-05,30390
890,760,2020-12-05,40219
859,429,2019-07-15,66579
726,177,2019-08-25,40849
292,318,2019-03-02,8607
128,911,2020-09-08,42362
762,429,2019-09-16,99475
927,651,2019-05-19,48939
300,49,2020-08-18,24424
794,805,2019-08-08,69897
984,118,2019-12-03,61919
258,591,2020-10-27,45532
535,718,2019-06-30,53253
5,322,2019-11-03,85399
209,570,2020-01-14,34048
132,806,2020-11-12,82672
226,905,2019-04-07,46395
528,231,2019-05-07,57493
885,628,2020-10-18,25964
202,456,2019-06-11,76578
574,229,2020-12-13,6390
473,73,2020-08-12,94447
285,12,2019-08-06,54339
623,623,2019-03-25,73864
427,254,2020-11-13,50744
366,819,2020-05-08,43797
89,68,2020-06-24,61888
788,231,2021-01-24,85755
722,72,2021-02-14,46355
600,684,2020-04-07,31142
403,815,2020-05-30,9482
468,535,2020-07-30,61265
205,583,2019-04-16,32546
81,932,2019-03-10,52995
584,381,2019-05-25,42700
220,491,2020-06-25,84273
508,217,2019-07-14,77945
277,45,2020-06-02,69296
504,856,2020-11-23,93830
473,878,2020-05-10,50959
224,80,2019-05-21,15644
812,1000,2019-12-18,38382
700,433,2019-04-30,7166
245,343,2019-12-02,42916
152,413,2020-11-26,32404
103,492,2019-05-19,31351
764,694,2019-03-18,96441
325,731,2020-06-02,26018
628,411,2019-03-06,28657
627,285,2019-07-19,52197
191,989,2019-07-11,14894
550,775,2020-08-28,53121
441,32,2019-05-25,17290
199,694,2020-02-25,44285
709,83,2019-07-31,15519
118,953,2020-09-04,70018
72,592,2020-10-31,4969
502,277,2019-04-06,80963
550,895,2021-02-14,43749
555,446,2020-07-29,28572
49,268,2019-03-07,83646
658,306,2020-04-15,33169
603,784,2020-01-14,31281
563,360,2020-06-14,46450
439,329,2019-05-07,37548
939,115,2020-11-28,27495
619,984,2019-09-07,16849
430,395,2019-04-13,72556
839,671,2019-08-08,69449
285,315,2019-04-14,25121
696,307,2020-07-04,2437
865,311,2019-10-09,95266
504,60,2019-11-17,87085
215,796,2020-01-22,96283
795,336,2019-07-08,15715
1001,905,2019-04-06,67685
9,129,2020-03-15,60951
786,427,2020-02-15,80415
814,101,2019-03-20,45490
382,47,2020-05-26,7441
405,943,2019-05-07,11682
944,209,2020-08-14,15940
458,91,2019-12-18,79294
990,960,2019-07-22,73664
499,902,2019-09-08,42668
881,997,2019-11-23,84761
902,138,2021-01-20,80781
903,343,2020-09-08,56061
122,721,2020-02-18,69900
654,509,2020-11-30,72322
58,908,2021-01-18,85225
2,712,2021-01-31,15421
976,108,2020-05-05,29960
549,990,2019-06-29,66658
874,237,2020-08-12,55290
921,887,2020-07-24,19579
568,159,2019-07-25,10867
59,840,2020-10-06,54624
975,766,2019-04-04,61150
665,612,2020-10-22,75787
802,468,2020-07-27,14099
649,714,2019-06-20,850
317,194,2020-12-05,79836
384,552,2019-06-23,94660
881,496,2019-11-10,14005
527,714,2020-04-04,79319
283,7,2019-08-31,64183
268,1,2019-05-20,65995
490,778,2020-05-26,69342
664,585,2021-02-02,17033
891,685,2020-01-27,71793
290,634,2020-07-18,64393
375,652,2019-07-03,20999
316,857,2019-02-28,23332
241,824,2020-02-19,31685
649,822,2020-07-31,63990
258,659,2020-01-02,33311
67,408,2021-01-17,20809
429,866,2020-05-05,92613
427,304,2020-12-28,10631
727,865,2020-03-19,83750
961,76,2021-01-30,30799
974,801,2019-10-17,57688
370,389,2020-07-06,76628
245,320,2019-11-22,7001
713,197,2019-12-16,78581
281,237,2020-11-29,28259
130,620,2020-07-12,48638
984,291,2019-08-31,28956
390,913,2019-06-17,89149
576,240,2020-04-28,91401
9,33,2020-08-07,74452
968,462,2019-02-27,15452
40,285,2020-02-08,19102
280,284,2020-09-15,86553
218,716,2019-04-20,4703
300,397,2019-11-05,89471
259,9,2020-09-14,7321
493,593,2019-03-25,99160
608,56,2020-04-15,31168
51,765,2019-09-24,11765
392,293,2019-06-02,45954
533,759,2019-08-23,15245
428,164,2020-10-01,860
161,423,2020-02-27,71919
41,515,2019-11-18,8363
702,262,2020-06-05,95831
434,147,2019-09-29,36828
205,374,2020-07-25,20820
259,810,2019-11-23,52100
279,333,2020-05-21,620
982,174,2021-01-10,59026
544,117,2020-06-24,16082
349,743,2020-12-12,67060
704,298,2020-06-14,19356
45,492,2019-05-31,25602
649,365,2020-08-26,43265
114,96,2019-10-17,8546
213,434,2019-12-16,28926
152,895,2020-09-21,44980
130,570,2020-01-05,35001
437,457,2020-11-22,59959
977,630,2020-07-07,984
60,300,2019-04-21,82097
41,750,2019-02-19,81168
382,481,2020-05-24,28554
459,962,2019-07-17,63807
135,849,2020-08-13,36626
392,583,2019-11-04,78527
804,838,2019-06-22,9446
393,498,2019-08-22,67450
358,412,2019-08-10,29284
433,916,2020-06-27,93337
714,950,2020-02-01,21912
579,530,2019-12-09,25000
860,780,2020-08-22,3380
123,461,2020-12-28,1136
357,336,2020-07-25,95408
186,636,2020-05-04,82362
620,618,2020-12-28,66337
350,380,2020-01-05,50595
664,251,2019-03-14,53573
96,940,2019-12-27,24324
339,748,2020-12-26,9548
904,497,2020-08-16,56970
577,195,2020-05-03,24117
623,128,2020-01-08,61230
658,734,2020-10-09,75380
424,34,2020-07-16,26996
373,869,2020-08-21,42700
716,580,2019-03-26,24944
375,131,2019-06-26,28423
956,300,2020-01-29,63740
131,586,2019-04-08,23890
714,905,2019-09-07,13107
158,748,2020-08-15,44757
223,672,2019-06-20,21405
610,873,2020-01-30,16718
197,185,2020-04-02,5845
689,642,2021-01-05,97936
306,611,2020-03-02,99882
483,519,2021-01-23,49557
833,359,2020-04-29,30193
427,511,2020-06-01,6477
59,397,2020-09-26,82512
415,564,2019-02-18,27057
363,641,2021-01-04,13539
396,983,2019-03-20,41462
212,370,2020-03-08,69573
934,494,2019-10-29,28017
557,547,2019-10-18,12761
727,271,2020-11-29,69927
132,511,2020-02-15,36526
554,260,2019-03-28,68870
626,997,2020-11-07,52373
219,473,2020-11-18,79417
119,355,2020-12-28,95819
116,79,2020-11-10,76051
98,836,2020-01-06,47783
546,82,2019-07-14,76620
787,711,2020-04-19,44089
461,566,2020-06-23,84418
579,803,2019-04-23,65732
901,508,2020-11-29,38273
886,45,2020-09-03,81181
40,125,2019-05-30,76819
423,318,2019-03-01,15381
238,357,2019-12-27,38646
72,679,2020-07-29,6066
884,466,2020-01-08,95690
262,531,2019-10-21,51502
786,861,2019-02-20,26566
907,539,2019-08-02,14688
27,937,2019-03-01,10344
879,723,2020-08-28,76599
188,707,2020-09-26,27786
376,80,2019-02-19,43232
194,11,2020-11-18,46871
418,455,2020-07-26,61833
512,591,2020-04-03,71388
702,5,2020-06-07,37903
402,503,2019-05-04,12550
820,187,2019-07-15,53384
901,26,2019-05-21,53167
45,797,2020-06-04,81933
377,827,2020-07-06,38719
170,764,2019-07-22,16495
698,367,2020-12-27,40330
849,924,2019-10-10,88583
67,583,2019-09-23,22497
165,594,2020-08-05,76662
196,712,2019-07-09,52541
373,149,2019-05-06,66991
973,64,2020-02-22,92392
564,564,2020-12-12,34839
862,103,2021-02-03,3062
793,158,2019-12-23,25631
981,739,2020-06-19,12811
55,510,2019-04-22,33366
821,503,2019-03-06,26977
393,151,2019-09-19,8889
175,15,2021-01-27,84798
727,782,2020-02-04,88530
743,494,2020-10-31,14174
214,166,2020-10-25,93059
661,322,2019-05-18,49205
221,893,2020-12-18,28133
558,614,2019-09-05,26409
164,2,2019-06-01,33738
889,134,2020-07-09,28285
679,636,2020-03-28,19721
678,846,2020-11-13,98705
799,615,2020-07-07,19279
273,301,2020-07-02,86827
324,642,2019-11-14,80653
860,454,2019-05-18,74220
957,261,2020-12-26,25745
439,970,2019-06-17,53087
62,112,2019-09-22,10505
821,490,2020-12-10,45970
120,462,2019-03-04,5869
901,993,2019-03-22,34055
364,317,2019-03-21,88935
430,80,2019-07-27,33734
540,357,2020-07-30,97518
871,319,2019-09-07,45748
516,926,2020-04-26,79091
965,854,2019-10-20,74902
267,28,2019-11-29,92434
930,846,2021-02-15,5809
474,915,2020-05-03,99221
906,482,2021-01-24,62054
351,761,2020-12-08,9652
55,675,2019-03-22,3187
471,121,2020-12-06,81584
945,188,2020-09-21,57047
132,523,2020-08-15,6931
781,146,2020-06-03,6503
543,612,2020-07-11,55466
489,237,2020-03-08,11018
669,509,2020-08-24,34357
812,611,2020-07-02,801
649,15,2021-01-19,91262
439,327,2020-02-09,6206
398,857,2020-06-29,66219
197,7,2020-01-22,10725
278,945,2019-12-04,20210
605,290,2020-12-25,11142
8,394,2020-04-10,34434
563,437,2019-07-06,79445
882,992,2019-07-29,52817
538,929,2019-12-06,4750
531,477,2020-05-19,92293
896,38,2019-10-02,52518
691,732,2019-02-24,29980
230,896,2019-06-05,92067
817,505,2019-06-15,80544
501,646,2019-09-16,85247
373,894,2019-11-03,49690
65,137,2019-11-07,5452
960,631,2020-10-23,46195
588,707,2019-11-30,35739
396,893,2020-08-29,37993
843,90,2019-05-01,80389
835,608,2019-11-07,3641
784,684,2020-10-15,73012
252,95,2020-06-13,30019
813,978,2019-03-17,55592
34,729,2019-03-22,259
649,952,2019-09-15,65904
352,296,2019-06-25,64851
280,226,2019-06-14,16588
267,458,2020-05-16,90227
554,223,2019-09-30,43557
396,250,2019-11-25,41923
288,681,2019-12-21,52264
361,849,2020-04-19,88911
842,89,2019-05-29,96011
474,791,2019-10-03,5718
83,401,2019-05-18,16219
403,982,2020-02-24,91268
393,542,2020-09-07,68630
176,50,2019-08-23,99595
293,806,2021-02-12,24269
963,606,2019-03-27,14013
369,245,2019-10-15,9438
895,184,2019-07-07,32814
950,866,2020-12-14,1543
423,437,2020-03-30,41087
405,87,2020-09-05,81792
432,924,2019-04-14,41245
268,161,2019-10-11,42289
870,174,2019-12-28,54556
87,189,2020-11-27,59104
577,87,2019-10-31,89072
285,401,2019-10-08,20888
707,508,2020-01-06,12329
989,394,2019-05-13,61711
664,684,2019-05-06,46197
5,55,2020-04-28,96329
203,559,2021-01-23,74967
903,869,2020-02-26,10531
880,598,2020-02-21,30699
332,305,2019-11-06,30657
364,735,2020-12-02,37082
359,453,2020-10-29,37280
540,30,2020-11-09,12344
343,480,2019-11-11,26912
742,395,2019-05-25,54840
640,528,2020-02-25,23112
622,524,2019-05-19,18810
794,663,2020-08-14,38455
400,785,2020-03-10,58582
108,924,2020-01-15,70043
997,517,2019-03-19,57124
174,271,2019-10-10,4793
864,666,2019-11-05,62468
159,234,2020-09-10,19320
970,655,2020-08-04,71210
340,260,2021-01-12,26588
566,451,2019-06-18,4605
748,611,2021-02-01,45049
43,200,2019-06-27,70915
36,375,2020-06-18,91073
744,314,2020-05-01,98462
666,984,2019-12-06,91446
974,196,2020-11-05,20649
465,914,2020-06-28,29996
301,184,2019-04-26,74198
882,978,2019-04-10,36098
282,554,2020-11-06,90930
168,412,2019-04-24,10158
613,235,2019-07-21,78989
888,969,2020-09-22,22190
591,798,2019-08-08,25092
601,430,2019-04-06,17261
122,332,2019-12-13,2542
881,128,2019-02-24,10429
759,497,2019-05-05,22899
926,494,2019-12-20,39824
999,97,2020-04-25,58300
504,820,2020-03-27,424
631,247,2019-10-01,32664
533,745,2020-02-01,3841
351,875,2021-02-01,19760
367,520,2020-03-03,38391
513,983,2020-10-22,89752
766,799,2020-05-17,78602
952,413,2020-08-25,35375
797,257,2020-07-29,87936
399,632,2019-08-05,21600
961,97,2020-01-12,529
81,635,2019-04-23,86153
691,434,2019-12-01,47866
656,817,2019-08-07,21612
132,225,2019-09-08,93043
324,588,2020-05-17,33901
826,257,2020-10-13,98035
887,114,2019-06-27,46805
306,771,2020-01-18,47492
427,867,2019-07-17,74855
205,300,2019-11-23,625
80,640,2019-05-18,90692
968,117,2019-04-08,33412
746,886,2020-11-17,35950
24,405,2020-12-19,48819
283,488,2020-12-11,4291
280,432,2020-08-16,14187
19,888,2019-03-11,12239
239,370,2021-01-19,49903
688,943,2020-04-01,81430
951,84,2020-02-03,68112
834,182,2020-09-24,34315
667,734,2020-07-27,78178
161,383,2019-07-24,84053
632,315,2019-05-21,15247
851,633,2020-03-10,78532
261,393,2019-12-24,1871
118,369,2019-09-05,45535
974,921,2019-07-28,78791
895,580,2020-06-29,61305
665,349,2019-03-22,96379
303,701,2020-10-29,46372
715,862,2019-08-04,5280
801,42,2020-06-16,86617
179,661,2019-06-11,74624
593,285,2019-05-10,39535
117,60,2019-07-21,29179
571,135,2020-02-09,15909
729,900,2019-12-08,31341
406,760,2019-11-25,32561
368,968,2020-04-17,54736
278,275,2020-11-21,57132
689,479,2019-06-15,78414
385,878,2019-05-10,30453
231,582,2020-05-26,16680
258,133,2020-03-02,18572
352,626,2019-06-13,22436
610,315,2020-04-30,29028
208,228,2019-12-30,48098
943,697,2020-06-27,8773
852,461,2020-07-30,14767
288,791,2020-01-12,46079
279,783,2020-12-30,37140
936,11,2020-03-28,75955
568,164,2020-03-08,77958
851,368,2020-07-29,2106
785,232,2021-01-30,84206
598,158,2021-01-07,63305
492,104,2019-10-26,12142
26,668,2020-11-26,20324
832,657,2020-03-11,81680
522,720,2020-03-11,91483
179,719,2020-06-25,87724
964,830,2020-07-22,70524
107,106,2020-12-28,56339
59,334,2019-07-24,74092
100,228,2020-04-14,15652
963,52,2020-06-05,29743
197,151,2021-02-10,1550
879,372,2019-08-06,67042
161,120,2019-02-25,14925
524,776,2019-11-09,71437
195,427,2020-08-19,73650
161,333,2020-09-20,28724
581,630,2021-01-16,11129
861,253,2019-10-23,1219
460,849,2020-11-14,63129
530,366,2019-10-25,26521
667,543,2019-03-17,67835
966,564,2020-03-31,87031
122,944,2019-06-13,92773
181,672,2020-12-28,81847
498,768,2019-09-05,39122
546,257,2020-05-31,6732
310,383,2020-10-19,49037
354,634,2019-06-19,62439
860,266,2020-12-03,79008
647,193,2019-12-09,43743
466,962,2020-05-15,81074
951,78,2019-10-04,47260
896,469,2020-08-28,57857
181,459,2020-08-19,81594
151,666,2020-11-05,79613
224,754,2020-02-18,31059
532,226,2019-04-10,58695
14,427,2020-10-31,10870
661,453,2019-04-24,22226
101,929,2020-03-25,20598
335,545,2020-12-23,66888
415,627,2021-01-29,23964
587,127,2019-03-20,58380
46,207,2019-04-10,84029
236,977,2019-08-11,36717
748,756,2019-05-30,93051
255,446,2019-03-21,69059
629,461,2019-10-09,22158
939,908,2019-03-01,58758
335,845,2020-09-29,16455
992,982,2020-12-04,5763
271,71,2020-02-01,68810
287,485,2019-11-01,69919
986,391,2020-12-18,49417
866,152,2019-06-22,753
810,501,2020-10-31,83816
824,787,2019-06-13,21685
884,779,2020-12-23,66832
849,297,2020-07-11,68993
970,741,2020-02-10,83030
842,523,2019-12-03,51899
757,198,2020-03-16,92816
952,326,2019-12-11,59212
711,39,2021-01-17,13486
996,127,2020-04-04,81425
943,534,2020-03-14,53384
11,456,2019-03-16,74030
858,790,2020-05-08,15603
10,851,2019-04-29,67422
461,346,2020-07-29,25132
680,870,2020-10-26,22702
258,623,2020-11-04,44133
1,601,2020-03-26,41512
907,796,2020-09-28,81896
117,649,2020-05-29,4484
714,487,2019-04-18,54082
634,907,2020-09-20,98640
323,253,2020-01-15,32645
584,929,2021-01-21,3274
872,262,2020-09-26,36998
421,608,2019-07-28,87519
936,139,2019-09-30,45493
367,811,2020-04-08,13796
560,78,2021-01-17,18670
103,25,2020-05-27,38661
915,858,2020-01-08,12690
395,844,2020-11-20,23341
859,296,2020-02-27,29183
462,530,2020-12-05,19940
168,793,2020-10-24,25797
750,899,2019-12-16,50349
853,479,2020-06-03,28721
764,667,2020-05-18,744
887,491,2019-08-18,86181
932,89,2020-12-10,98766
257,722,2020-12-20,12010
601,374,2020-10-29,14334
78,135,2019-03-05,49627
721,795,2020-07-12,61594
217,783,2021-01-05,5541
74,719,2019-02-18,42222
827,837,2020-09-15,9508
682,946,2019-07-09,21090
687,105,2019-10-10,60095
93,803,2020-03-17,71742
446,637,2020-05-05,2142
459,86,2019-09-03,92374
514,215,2019-11-03,84984
868,877,2019-04-09,73836
399,466,2020-03-07,4290
551,317,2020-12-16,32853
609,151,2019-09-09,24729
562,121,2020-11-19,22608
893,606,2019-10-11,31626
275,284,2020-10-10,94898
415,420,2019-12-31,70116
385,551,2019-12-13,66487
98,314,2020-11-08,97761
805,476,2019-12-13,95698
828,15,2019-04-07,53539
245,239,2019-06-25,87631
512,391,2020-06-29,95690
254,891,2021-02-13,74208
70,596,2019-05-27,67664
815,155,2019-08-22,44978
475,119,2019-09-28,21968
243,426,2020-09-06,14108
260,60,2020-11-23,82332
669,658,2019-11-04,69285
207,34,2019-04-02,87875
764,209,2019-03-17,56440
731,450,2020-02-26,81145
131,12,2020-01-08,62012
737,215,2019-06-07,73056
329,514,2020-03-06,34568
122,573,2021-01-09,10667
746,716,2020-12-19,75253
348,561,2020-05-30,94986
630,138,2020-08-28,34319
676,592,2019-04-22,84175
532,458,2020-07-25,4289
182,304,2020-08-13,83834
231,651,2019-06-15,8632
135,140,2020-11-08,58642
184,527,2019-11-19,86110
660,656,2020-01-03,26851
63,214,2019-03-17,89514
796,413,2020-06-07,36949
949,179,2020-02-15,37427
421,281,2019-12-15,31204
522,12,2020-02-09,60444
354,897,2019-03-26,23789
288,927,2019-05-07,71381
946,423,2020-02-18,15776
471,630,2020-10-14,42265
647,70,2019-06-15,54772
270,138,2019-03-05,75185
421,801,2019-03-15,21523
412,150,2020-05-27,1523
523,142,2020-06-11,65826
232,790,2019-06-01,35614
692,180,2020-06-21,75804
708,236,2019-10-27,50212
922,600,2019-05-10,587
982,419,2020-08-14,77150
442,435,2020-04-19,60631
980,482,2020-07-06,17846
248,202,2019-11-14,22567
246,442,2019-07-19,65334
555,247,2019-12-12,83436
303,649,2020-10-18,49348
428,506,2020-10-13,47766
698,647,2020-10-13,93571
853,800,2020-03-04,97476
879,291,2019-05-15,48533
43,22,2021-01-02,23988
256,584,2019-04-05,70600
151,603,2020-06-05,3723
674,965,2020-08-15,40857
61,904,2020-02-15,7978
249,969,2020-06-09,37254
293,407,2020-06-23,21517
349,358,2021-02-12,98234
400,330,2019-11-07,7924
983,517,2020-07-07,6455
733,724,2019-05-25,49992
563,363,2020-08-01,52477
29,16,2020-08-25,62388
278,197,2020-06-15,23345
839,508,2019-10-06,96062
809,265,2020-10-22,75876
431,828,2020-12-08,41491
698,842,2019-05-27,17333
639,96,2021-01-26,27152
103,211,2019-12-16,35717
826,853,2020-10-30,19437
203,876,2019-10-04,60522
150,168,2021-01-30,98169
603,667,2020-09-19,62975
824,842,2020-12-26,52039
464,726,2020-07-30,71514
247,285,2020-11-08,41194
233,853,2019-05-23,61339
192,981,2020-03-27,2130
132,148,2020-12-17,45199
974,445,2020-10-20,45508
247,314,2019-07-14,27574
822,522,2019-03-19,98280
145,163,2020-10-17,65670
766,492,2019-12-19,68319
121,926,2020-01-29,42718
382,135,2019-12-03,6625
532,528,2020-09-27,22500
384,645,2019-07-15,95402
304,602,2020-02-06,54451
282,197,2019-11-21,26975
62,928,2020-10-23,15697
714,64,2020-06-22,93257
89,7,2019-04-17,26934
37,184,2019-03-24,79328
154,81,2021-01-18,50422
63,504,2021-02-12,80589
394,903,2019-03-21,21117
651,412,2020-03-01,89119
305,681,2019-09-04,47004
519,285,2021-01-17,78558
367,35,2019-03-10,36491
743,812,2020-03-27,90284
252,467,2020-07-19,53596
272,35,2020-05-05,59146
483,857,2020-05-07,77971
490,227,2020-12-29,539
718,551,2019-08-04,36623
405,947,2019-08-15,87838
701,877,2019-05-01,33104
879,741,2020-10-13,15651
617,482,2020-11-15,59145
943,52,2021-01-05,19976
684,352,2021-01-08,4811
594,48,2020-06-19,20357
859,808,2020-10-15,78211
498,944,2020-03-14,98218
734,103,2020-08-13,30621
369,386,2020-03-30,55382
750,809,2020-01-10,46299
602,739,2020-03-17,64989
720,344,2019-10-13,25664
711,952,2019-05-17,96593
955,499,2019-06-11,32287
896,710,2020-01-14,21463
139,622,2021-01-10,82148
877,268,2020-05-02,473
88,242,2020-01-11,88575
831,941,2021-02-03,95491
16,664,2019-04-24,17484
374,808,2021-02-13,13870
839,446,2019-05-10,77748
795,471,2020-01-06,48097
62,630,2019-04-07,34587
346,836,2019-05-06,88333
564,315,2020-01-06,34922
987,870,2020-10-11,3712
671,513,2019-06-19,25728
229,565,2020-09-10,50061
354,218,2019-03-13,14733
162,849,2020-10-24,89676
580,701,2020-01-30,86979
424,51,2020-01-18,653
131,355,2020-08-04,70421
616,583,2020-01-07,84007
641,88,2019-03-13,47688
601,568,2020-03-09,10370
806,196,2021-02-01,887
647,869,2020-12-20,11442
409,753,2019-10-28,25500
993,597,2020-09-01,83896
112,949,2019-09-02,63192
161,253,2019-04-20,47686
542,410,2019-11-18,59990
57,377,2019-04-13,65567
331,281,2019-05-23,71367
124,825,2019-11-24,34693
471,545,2020-08-08,6871
416,102,2019-03-12,13266
72,939,2019-11-13,68093
171,542,2019-11-15,77805
808,832,2019-07-06,87346
622,882,2019-02-25,58427
243,267,2020-11-23,39474
959,486,2019-08-16,72345
918,217,2020-11-15,74498
123,97,2019-11-29,73857
941,696,2019-04-13,79167
487,801,2020-05-26,7402
895,723,2021-01-11,51495
385,158,2019-06-09,60138
543,678,2019-07-29,68032
992,433,2019-02-20,33107
185,397,2019-07-27,4496
920,329,2020-07-13,15069
721,317,2020-07-25,88260
501,731,2020-09-08,17104
228,957,2021-02-15,40168
416,530,2021-01-17,26891
331,626,2019-05-24,39446
305,62,2020-09-20,84833
464,834,2019-02-23,880
215,280,2019-10-03,53086
455,820,2019-12-01,79670
403,162,2020-08-06,59666
755,835,2019-03-09,35800
1000,582,2021-02-11,80495
67,820,2020-06-01,20790
912,776,2019-08-17,44999
245,108,2020-12-16,47521
33,619,2019-06-08,14608
111,362,2019-07-13,90411
432,377,2020-02-05,16563
482,593,2019-05-16,70531
282,208,2020-02-23,7524
223,887,2019-11-12,16485
781,260,2020-08-20,14689
527,338,2019-09-06,90532
366,344,2019-05-30,93991
840,586,2019-03-11,23615
374,100,2019-07-29,61173
255,369,2019-11-26,77129
816,20,2019-11-05,52420
130,810,2020-02-20,18749
357,315,2019-10-03,76463
907,651,2019-10-06,7603
161,167,2021-02-14,37842
697,555,2020-12-31,46576
17,126,2020-04-22,68176
271,543,2020-06-25,49483
982,689,2019-10-29,81378
896,962,2019-07-10,98187
29,410,2020-05-23,14673
350,274,2019-04-21,38761
301,58,2019-05-08,82741
173,191,2020-04-07,65521
547,999,2020-05-14,75798
175,100,2019-10-15,88322
287,812,2019-06-19,47514
442,693,2019-12-07,19556
411,1,2021-01-15,32728
